Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,066214,2020,11,13,3.2,1,N
IDCJAC0009,066214,2020,11,14,0,1,N
IDCJAC0009,066214,2020,11,15,0,1,N
IDCJAC0009,066214,2020,11,16,0,1,N
IDCJAC0009,066214,2020,11,17,0,1,N
IDCJAC0009,066214,2020,11,18,0.4,1,N
IDCJAC0009,066214,2020,11,19,0,1,N
IDCJAC0009,066214,2020,11,20,0,1,N
IDCJAC0009,066214,2020,11,21,0,1,N
IDCJAC0009,066214,2020,11,22,0,1,N
IDCJAC0009,066214,2020,11,23,2.6,1,N
IDCJAC0009,066214,2020,11,24,1.6,1,N
IDCJAC0009,066214,2020,11,25,0,1,N
IDCJAC0009,066214,2020,11,26,0,1,N
IDCJAC0009,066214,2020,11,27,0,1,N
IDCJAC0009,066214,2020,11,28,0,1,N
IDCJAC0009,066214,2020,11,29,0,1,N
IDCJAC0009,066214,2020,11,30,0,1,N
IDCJAC0009,066214,2020,12,01,0,1,N
IDCJAC0009,066214,2020,12,02,6.8,1,N
IDCJAC0009,066214,2020,12,03,0.6,1,N
IDCJAC0009,066214,2020,12,04,0,1,N
IDCJAC0009,066214,2020,12,05,0,1,N
IDCJAC0009,066214,2020,12,06,6.2,1,N
IDCJAC0009,066214,2020,12,07,0,1,N
IDCJAC0009,066214,2020,12,08,0,1,N
IDCJAC0009,066214,2020,12,09,0,1,N
IDCJAC0009,066214,2020,12,10,0,1,N
IDCJAC0009,066214,2020,12,11,0,1,N
IDCJAC0009,066214,2020,12,12,1.6,1,N
IDCJAC0009,066214,2020,12,13,1.6,1,N
IDCJAC0009,066214,2020,12,14,3.6,1,N
IDCJAC0009,066214,2020,12,15,11.6,1,N
IDCJAC0009,066214,2020,12,16,12.2,1,N
IDCJAC0009,066214,2020,12,17,0.2,1,N
IDCJAC0009,066214,2020,12,18,0,1,N
IDCJAC0009,066214,2020,12,19,1.4,1,N
IDCJAC0009,066214,2020,12,20,7,1,N
IDCJAC0009,066214,2020,12,21,1.6,1,N
IDCJAC0009,066214,2020,12,22,26.2,1,N
IDCJAC0009,066214,2020,12,23,0,1,N
IDCJAC0009,066214,2020,12,24,0,1,N
IDCJAC0009,066214,2020,12,25,0.6,1,N
IDCJAC0009,066214,2020,12,26,0.8,1,N
IDCJAC0009,066214,2020,12,27,3.6,1,N
IDCJAC0009,066214,2020,12,28,0,1,N
IDCJAC0009,066214,2020,12,29,14,1,N
IDCJAC0009,066214,2020,12,30,19.2,1,N
IDCJAC0009,066214,2020,12,31,0.2,1,N
